Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_barrio;NOM_BARRIO;LLAVE;GEOJSON_BARRIO;BARRIO_AT;ind_discap_ninguna;personas
1;0;SIN CORREGIMIENTO;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;1;388
1;0;SIN CORREGIMIENTO;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;2;33
1;0;SIN CORREGIMIENTO;2;EL PAULON VILLA LINA;1-EL PAULON VILLA LINA;EL PABLÓN;SI;1;897
1;0;SIN CORREGIMIENTO;2;EL PAULON VILLA LINA;1-EL PAULON VILLA LINA;EL PABLÓN;SI;2;65
1;0;SIN CORREGIMIENTO;3;COLORADOS;1-COLORADOS;COLORADOS;SI;1;2613
1;0;SIN CORREGIMIENTO;3;COLORADOS;1-COLORADOS;COLORADOS;SI;2;223
1;0;SIN CORREGIMIENTO;4;EL PAULON;1-EL PAULON;EL PABLÓN;SI;1;1028
1;0;SIN CORREGIMIENTO;4;EL PAULON;1-EL PAULON;EL PABLÓN;SI;2;105
1;0;SIN CORREGIMIENTO;5;ROSALTA COLORADOS;1-ROSALTA COLORADOS;ROSALTA;0;1;317
1;0;SIN CORREGIMIENTO;5;ROSALTA COLORADOS;1-ROSALTA COLORADOS;ROSALTA;0;2;33
1;0;SIN CORREGIMIENTO;6;COLORADOS PATIO BONITO;1-COLORADOS PATIO BONITO;0;0;1;337
1;0;SIN CORREGIMIENTO;6;COLORADOS PATIO BONITO;1-COLORADOS PATIO BONITO;0;0;2;14
1;0;SIN CORREGIMIENTO;7;CAFE MADRID VILLA ALICIA;1-CAFE MADRID VILLA ALICIA;0;0;1;168
1;0;SIN CORREGIMIENTO;7;CAFE MADRID VILLA ALICIA;1-CAFE MADRID VILLA ALICIA;0;0;2;22
1;0;SIN CORREGIMIENTO;8;EL ROSAL COLORADOS;1-EL ROSAL COLORADOS;EL ROSAL;SI;1;650
1;0;SIN CORREGIMIENTO;8;EL ROSAL COLORADOS;1-EL ROSAL COLORADOS;EL ROSAL;SI;2;31
1;0;SIN CORREGIMIENTO;9;LAS DELICIAS;1-LAS DELICIAS;0;0;1;20
1;0;SIN CORREGIMIENTO;9;LAS DELICIAS;1-LAS DELICIAS;0;0;2;3
