Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;ind_discap_ninguna;personas
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;1;388
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;2;33
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;897
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;2;65
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;2613
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;2;223
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;1;1028
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;2;105
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;1;317
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;2;33
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;1;337
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;2;14
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFÉ MADRID VILLA ALICIA;1;168
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFÉ MADRID VILLA ALICIA;2;22
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;1;650
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;2;31
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;1;20
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;2;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;1;21
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NIÑO NORTE;1;271
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NIÑO NORTE;2;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;1;676
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;2;38
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFÉ MADRID LA UNIÓN;1;101
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFÉ MADRID LA UNIÓN;2;9
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;1;619
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;2;54
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFÉ MADRID LA PLAYA;1;594
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFÉ MADRID LA PLAYA;2;52
