Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;tip_empleado;Count of documento
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;1;31
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;2;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;3;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;4;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;5;66
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;6;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;7;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;8;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;10;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;99;304
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1;70
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;3;11
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;5;197
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;6;3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;7;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;8;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;9;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;10;12
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;99;666
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1;287
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;2;7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;3;35
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;4;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;5;438
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;6;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;7;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;8;15
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;10;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;99;2025
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;1;95
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;2;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;3;22
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;5;196
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;6;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;7;4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;8;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;9;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;10;4
