Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;Grupo;personas
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;A;99
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;B;209
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;C;107
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;D;6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;A;268
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;B;396
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;C;283
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;D;15
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;A;492
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;B;1194
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;C;999
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;D;151
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;A;234
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;B;567
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;C;307
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;D;25
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;A;46
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;B;150
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;C;133
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;D;21
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;A;119
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;B;148
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;C;75
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;D;9
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;A;51
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;B;92
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;C;42
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFê MADRID VILLA ALICIA;D;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;A;182
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;B;230
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;C;244
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;D;25
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;A;11
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;B;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;C;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;A;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;B;13
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NI•O NORTE;A;29
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NI•O NORTE;B;149
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NI•O NORTE;C;89
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NI•O NORTE;D;8
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFê MADRID EL TÈNEL;A;233
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFê MADRID EL TÈNEL;B;298
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFê MADRID EL TÈNEL;C;162
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFê MADRID EL TÈNEL;D;21
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFê MADRID LA UNI‡N;A;28
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFê MADRID LA UNI‡N;B;49
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFê MADRID LA UNI‡N;C;32
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFê MADRID LA UNI‡N;D;1
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFê MADRID;A;170
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFê MADRID;B;313
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFê MADRID;C;170
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFê MADRID;D;20
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFê MADRID LA PLAYA;A;162
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFê MADRID LA PLAYA;B;314
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFê MADRID LA PLAYA;C;160
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFê MADRID LA PLAYA;D;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;19;CAFê MADRID LA LOMA;A;51
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;19;CAFê MADRID LA LOMA;B;76
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;19;CAFê MADRID LA LOMA;C;67
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;19;CAFê MADRID LA LOMA;D;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFê MADRID ;A;403
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFê MADRID ;B;993
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFê MADRID ;C;540
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFê MADRID ;D;51
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFê MADRID EL PLAN;A;124
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFê MADRID EL PLAN;B;359
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFê MADRID EL PLAN;C;203
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFê MADRID EL PLAN;D;21
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFê MADRID LA VIRGEN;A;35
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFê MADRID LA VIRGEN;B;94
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFê MADRID LA VIRGEN;C;27
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFê MADRID LA VIRGEN;D;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;27;CAFê MADRID EL SUICHE;A;29
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;27;CAFê MADRID EL SUICHE;B;17
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;27;CAFê MADRID EL SUICHE;C;11
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFê MADRID EL CABLE;A;121
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFê MADRID EL CABLE;B;200
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFê MADRID EL CABLE;C;84
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFê MADRID EL CABLE;D;12
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;29;KENNEDY;A;290
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;29;KENNEDY;B;888
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;29;KENNEDY;C;1416
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;29;KENNEDY;D;304
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;30;VILLA ALEGRIA;A;150
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;30;VILLA ALEGRIA;B;381
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;30;VILLA ALEGRIA;C;342
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;30;VILLA ALEGRIA;D;26
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;31;LAS HAMACAS;A;124
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;31;LAS HAMACAS;B;305
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;31;LAS HAMACAS;C;270
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;31;LAS HAMACAS;D;32
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;32;MAR÷A PAZ;A;405
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;32;MAR÷A PAZ;B;1743
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;32;MAR÷A PAZ;C;1496
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;32;MAR÷A PAZ;D;136
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;33;ALTOS DEL KENNEDY;A;41
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;33;ALTOS DEL KENNEDY;B;187
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;33;ALTOS DEL KENNEDY;C;212
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;33;ALTOS DEL KENNEDY;D;48
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;A;52
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;B;253
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;C;485
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;35;MINUTO DE DIOS;D;127
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;36;MIRADOR DEL KENNEDY;A;32
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;36;MIRADOR DEL KENNEDY;B;52
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;36;MIRADOR DEL KENNEDY;C;76
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;36;MIRADOR DEL KENNEDY;D;13
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;38;COLSEGUROS NORTE;A;74
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;38;COLSEGUROS NORTE;B;337
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;38;COLSEGUROS NORTE;C;468
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;38;COLSEGUROS NORTE;D;76
