Cod_comuna_x;NOM_COMUNA;Cod_barrio;NOM_BARRIO;Grupo;BARRIO_AT;personas
1;01. NORTE;1;EL PAULON VILLA PATRICIA;A;SI;99
1;01. NORTE;1;EL PAULON VILLA PATRICIA;B;SI;209
1;01. NORTE;1;EL PAULON VILLA PATRICIA;C;SI;107
1;01. NORTE;1;EL PAULON VILLA PATRICIA;D;SI;6
1;01. NORTE;2;EL PAULON VILLA LINA;A;SI;268
1;01. NORTE;2;EL PAULON VILLA LINA;B;SI;396
1;01. NORTE;2;EL PAULON VILLA LINA;C;SI;283
1;01. NORTE;2;EL PAULON VILLA LINA;D;SI;15
1;01. NORTE;3;COLORADOS;A;SI;492
1;01. NORTE;3;COLORADOS;B;SI;1194
1;01. NORTE;3;COLORADOS;C;SI;999
1;01. NORTE;3;COLORADOS;D;SI;151
1;01. NORTE;4;EL PAULON;A;SI;234
1;01. NORTE;4;EL PAULON;B;SI;567
1;01. NORTE;4;EL PAULON;C;SI;307
1;01. NORTE;4;EL PAULON;D;SI;25
1;01. NORTE;5;ROSALTA COLORADOS;A;NO;46
1;01. NORTE;5;ROSALTA COLORADOS;B;NO;150
1;01. NORTE;5;ROSALTA COLORADOS;C;NO;133
1;01. NORTE;5;ROSALTA COLORADOS;D;NO;21
1;01. NORTE;6;COLORADOS PATIO BONITO;A;NO;119
1;01. NORTE;6;COLORADOS PATIO BONITO;B;NO;148
1;01. NORTE;6;COLORADOS PATIO BONITO;C;NO;75
1;01. NORTE;6;COLORADOS PATIO BONITO;D;NO;9
1;01. NORTE;7;CAFE MADRID VILLA ALICIA;A;NO;51
1;01. NORTE;7;CAFE MADRID VILLA ALICIA;B;NO;92
1;01. NORTE;7;CAFE MADRID VILLA ALICIA;C;NO;42
1;01. NORTE;7;CAFE MADRID VILLA ALICIA;D;NO;5
1;01. NORTE;8;EL ROSAL COLORADOS;A;SI;182
1;01. NORTE;8;EL ROSAL COLORADOS;B;SI;230
1;01. NORTE;8;EL ROSAL COLORADOS;C;SI;244
1;01. NORTE;8;EL ROSAL COLORADOS;D;SI;25
1;01. NORTE;10;ASENTAMIENTO BARRIO NUEVO;A;SI;8
1;01. NORTE;10;ASENTAMIENTO BARRIO NUEVO;B;SI;13
1;01. NORTE;11;DIVINO NIÑO NORTE;A;NO;29
1;01. NORTE;11;DIVINO NIÑO NORTE;B;NO;149
1;01. NORTE;11;DIVINO NIÑO NORTE;C;NO;89
1;01. NORTE;11;DIVINO NIÑO NORTE;D;NO;8
1;01. NORTE;12;CAFE MADRID EL TUNEL;A;NO;233
1;01. NORTE;12;CAFE MADRID EL TUNEL;B;NO;298
1;01. NORTE;12;CAFE MADRID EL TUNEL;C;NO;162
1;01. NORTE;12;CAFE MADRID EL TUNEL;D;NO;21
1;01. NORTE;13;CAFE MADRID LA UNION;A;NO;28
1;01. NORTE;13;CAFE MADRID LA UNION;B;NO;49
1;01. NORTE;13;CAFE MADRID LA UNION;C;NO;32
1;01. NORTE;13;CAFE MADRID LA UNION;D;NO;1
1;01. NORTE;14;CAFE MADRID;A;SI;170
1;01. NORTE;14;CAFE MADRID;B;SI;313
1;01. NORTE;14;CAFE MADRID;C;SI;170
1;01. NORTE;14;CAFE MADRID;D;SI;20
1;01. NORTE;15;CAFE MADRID LA PLAYA;A;NO;162
1;01. NORTE;15;CAFE MADRID LA PLAYA;B;NO;314
1;01. NORTE;15;CAFE MADRID LA PLAYA;C;NO;160
1;01. NORTE;15;CAFE MADRID LA PLAYA;D;NO;10
1;01. NORTE;19;CAFE MADRID LA LOMA;A;NO;51
1;01. NORTE;19;CAFE MADRID LA LOMA;B;NO;76
1;01. NORTE;19;CAFE MADRID LA LOMA;C;NO;67
1;01. NORTE;19;CAFE MADRID LA LOMA;D;NO;10
1;01. NORTE;24;CIUDADELA CAFE MADRID ;A;NO;403
1;01. NORTE;24;CIUDADELA CAFE MADRID ;B;NO;993
1;01. NORTE;24;CIUDADELA CAFE MADRID ;C;NO;540
1;01. NORTE;24;CIUDADELA CAFE MADRID ;D;NO;51
1;01. NORTE;25;CAFE MADRID EL PLAN;A;NO;124
1;01. NORTE;25;CAFE MADRID EL PLAN;B;NO;359
1;01. NORTE;25;CAFE MADRID EL PLAN;C;NO;203
1;01. NORTE;25;CAFE MADRID EL PLAN;D;NO;21
1;01. NORTE;26;CAFE MADRID LA VIRGEN;A;NO;35
1;01. NORTE;26;CAFE MADRID LA VIRGEN;B;NO;94
1;01. NORTE;26;CAFE MADRID LA VIRGEN;C;NO;27
1;01. NORTE;26;CAFE MADRID LA VIRGEN;D;NO;2
1;01. NORTE;27;CAFE MADRID EL SUICHE;A;NO;29
1;01. NORTE;27;CAFE MADRID EL SUICHE;B;NO;17
1;01. NORTE;27;CAFE MADRID EL SUICHE;C;NO;11
1;01. NORTE;28;CAFE MADRID EL CABLE;A;NO;121
1;01. NORTE;28;CAFE MADRID EL CABLE;B;NO;200
1;01. NORTE;28;CAFE MADRID EL CABLE;C;NO;84
1;01. NORTE;28;CAFE MADRID EL CABLE;D;NO;12
1;01. NORTE;29;KENNEDY;A;SI;290
1;01. NORTE;29;KENNEDY;B;SI;888
1;01. NORTE;29;KENNEDY;C;SI;1416
1;01. NORTE;29;KENNEDY;D;SI;304
1;01. NORTE;30;VILLA ALEGRIA;A;NO;150
1;01. NORTE;30;VILLA ALEGRIA;B;NO;381
1;01. NORTE;30;VILLA ALEGRIA;C;NO;342
1;01. NORTE;30;VILLA ALEGRIA;D;NO;26
1;01. NORTE;31;LAS HAMACAS;A;SI;124
1;01. NORTE;31;LAS HAMACAS;B;SI;305
1;01. NORTE;31;LAS HAMACAS;C;SI;270
1;01. NORTE;31;LAS HAMACAS;D;SI;32
1;01. NORTE;32;MARIA PAZ;A;SI;405
1;01. NORTE;32;MARIA PAZ;B;SI;1743
1;01. NORTE;32;MARIA PAZ;C;SI;1496
1;01. NORTE;32;MARIA PAZ;D;SI;136
1;01. NORTE;33;ALTOS DEL KENNEDY;A;SI;41
1;01. NORTE;33;ALTOS DEL KENNEDY;B;SI;187
1;01. NORTE;33;ALTOS DEL KENNEDY;C;SI;212
1;01. NORTE;33;ALTOS DEL KENNEDY;D;SI;48
1;01. NORTE;35;MINUTO DE DIOS;A;SI;52
1;01. NORTE;35;MINUTO DE DIOS;B;SI;253
1;01. NORTE;35;MINUTO DE DIOS;C;SI;485
1;01. NORTE;35;MINUTO DE DIOS;D;SI;127
1;01. NORTE;36;MIRADOR DEL KENNEDY;A;SI;32
1;01. NORTE;36;MIRADOR DEL KENNEDY;B;SI;52
1;01. NORTE;36;MIRADOR DEL KENNEDY;C;SI;76
1;01. NORTE;36;MIRADOR DEL KENNEDY;D;SI;13
