Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_barrio;NOM_BARRIO;LLAVE;GEOJSON_BARRIO;BARRIO_AT;personas
1;0;SIN CORREGIMIENTO;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;421
1;0;SIN CORREGIMIENTO;2;EL PAULON VILLA LINA;1-EL PAULON VILLA LINA;EL PABLÓN;SI;962
1;0;SIN CORREGIMIENTO;3;COLORADOS;1-COLORADOS;COLORADOS;SI;2836
1;0;SIN CORREGIMIENTO;4;EL PAULON;1-EL PAULON;EL PABLÓN;SI;1133
1;0;SIN CORREGIMIENTO;5;ROSALTA COLORADOS;1-ROSALTA COLORADOS;ROSALTA;0;350
1;0;SIN CORREGIMIENTO;6;COLORADOS PATIO BONITO;1-COLORADOS PATIO BONITO;0;0;351
1;0;SIN CORREGIMIENTO;7;CAFE MADRID VILLA ALICIA;1-CAFE MADRID VILLA ALICIA;0;0;190
1;0;SIN CORREGIMIENTO;8;EL ROSAL COLORADOS;1-EL ROSAL COLORADOS;EL ROSAL;SI;681
1;0;SIN CORREGIMIENTO;9;LAS DELICIAS;1-LAS DELICIAS;0;0;23
1;0;SIN CORREGIMIENTO;10;ASENTAMIENTO BARRIO NUEVO;1-ASENTAMIENTO BARRIO NUEVO;BARRIO NUEVO;SI;21
1;0;SIN CORREGIMIENTO;11;DIVINO NIÑO NORTE;1-DIVINO NIÑO NORTE;0;0;275
1;0;SIN CORREGIMIENTO;12;CAFE MADRID EL TUNEL;1-CAFE MADRID EL TUNEL;0;0;714
1;0;SIN CORREGIMIENTO;13;CAFE MADRID LA UNION;1-CAFE MADRID LA UNION;0;0;110
1;0;SIN CORREGIMIENTO;14;CAFE MADRID;1-CAFE MADRID;CAFE MADRID;SI;673
1;0;SIN CORREGIMIENTO;15;CAFE MADRID LA PLAYA;1-CAFE MADRID LA PLAYA;0;0;646
1;0;SIN CORREGIMIENTO;19;CAFE MADRID LA LOMA;1-CAFE MADRID LA LOMA;0;0;204
1;0;SIN CORREGIMIENTO;24;CIUDADELA CAFE MADRID ;1-CIUDADELA CAFE MADRID ;0;0;1987
1;0;SIN CORREGIMIENTO;25;CAFE MADRID EL PLAN;1-CAFE MADRID EL PLAN;0;0;707
1;0;SIN CORREGIMIENTO;26;CAFE MADRID LA VIRGEN;1-CAFE MADRID LA VIRGEN;0;0;158
1;0;SIN CORREGIMIENTO;27;CAFE MADRID EL SUICHE;1-CAFE MADRID EL SUICHE;0;0;57
1;0;SIN CORREGIMIENTO;28;CAFE MADRID EL CABLE;1-CAFE MADRID EL CABLE;0;0;417
1;0;SIN CORREGIMIENTO;29;KENNEDY;1-KENNEDY;KENNEDY;SI;2898
1;0;SIN CORREGIMIENTO;30;VILLA ALEGRIA;1-VILLA ALEGRIA;0;0;899
1;0;SIN CORREGIMIENTO;31;LAS HAMACAS;1-LAS HAMACAS;LAS HAMACAS;SI;731
1;0;SIN CORREGIMIENTO;32;MARIA PAZ;1-MARIA PAZ;MARIA PAZ;SI;3780
1;0;SIN CORREGIMIENTO;33;ALTOS DEL KENNEDY;1-ALTOS DEL KENNEDY;ALTOS DEL KENNEDY;SI;488
1;0;SIN CORREGIMIENTO;35;MINUTO DE DIOS;1-MINUTO DE DIOS;MINUTO DE DIOS;SI;917
1;0;SIN CORREGIMIENTO;36;MIRADOR DEL KENNEDY;1-MIRADOR DEL KENNEDY;MIRADOR DEL KENNEDY;SI;173
1;0;SIN CORREGIMIENTO;38;COLSEGUROS NORTE;1-COLSEGUROS NORTE;0;0;955
1;0;SIN CORREGIMIENTO;39;OMAGA I ;1-OMAGA I ;OMAGA I;SI;194
1;0;SIN CORREGIMIENTO;40;MIRAMAR;1-MIRAMAR;MIRAMAR;SI;463
1;0;SIN CORREGIMIENTO;41;BALCONES DEL KENNEDY;1-BALCONES DEL KENNEDY;BALCONES DEL KENEDY;SI;1121
1;0;SIN CORREGIMIENTO;42;VILLA MARIA;1-VILLA MARIA;VILLA MARIA I;SI;374
1;0;SIN CORREGIMIENTO;43;ASENTAMIENTO VILLA MARIA;1-ASENTAMIENTO VILLA MARIA;NO;0;3
1;0;SIN CORREGIMIENTO;45;LOS ANGELES;1-LOS ANGELES;0;0;2
1;0;SIN CORREGIMIENTO;47;OLAS ALTAS Y BAJAS;1-OLAS ALTAS Y BAJAS;OLAS ALTAS;SI;1061
1;0;SIN CORREGIMIENTO;49;PAISAJES DEL NORTE;1-PAISAJES DEL NORTE;0;0;717
1;0;SIN CORREGIMIENTO;50;VILLA ROSA;1-VILLA ROSA;VILLA ROSA;SI;5615
1;0;SIN CORREGIMIENTO;54;MIRADOR NORTE;1-MIRADOR NORTE;0;0;2
1;0;SIN CORREGIMIENTO;55;CLAVERIANO;1-CLAVERIANO;CLAVERIANO;SI;1378
1;0;SIN CORREGIMIENTO;56;ALTOS DEL PROGRESO;1-ALTOS DEL PROGRESO;ALTOS DEL PROGRESO;SI;1236
1;0;SIN CORREGIMIENTO;58;13 DE JUNIO;1-13 DE JUNIO;13 DE JUNIO;SI;209
1;0;SIN CORREGIMIENTO;69;VILLA MERCEDES;1-VILLA MERCEDES;0;0;1
1;0;SIN CORREGIMIENTO;88;CAFE MADRID LA 40;1-CAFE MADRID LA 40;0;0;97
1;0;SIN CORREGIMIENTO;91;TEJADITOS;1-TEJADITOS;0;0;25
1;0;SIN CORREGIMIENTO;94;EL NOGAL 2;1-EL NOGAL 2;0;0;650
1;0;SIN CORREGIMIENTO;108;LIMONCITO MORRORRICO;1-LIMONCITO MORRORRICO;0;0;3
1;0;SIN CORREGIMIENTO;229;VILLA SARA;1-VILLA SARA;0;0;4
1;0;SIN CORREGIMIENTO;230;VILLA ALICIA;1-VILLA ALICIA;0;0;168
1;0;SIN CORREGIMIENTO;235;DELICIAS NORTE;1-DELICIAS NORTE;0;0;114
1;0;SIN CORREGIMIENTO;244;VILLA FLOR;1-VILLA FLOR;0;0;4
1;0;SIN CORREGIMIENTO;247;LA FORTUNA;1-LA FORTUNA;0;0;501
1;0;SIN CORREGIMIENTO;281;SAN IGNACIO REAL;1-SAN IGNACIO REAL;0;0;423
1;0;SIN CORREGIMIENTO;291;CAMINOS DE PAZ;1-CAMINOS DE PAZ;0;0;149
1;0;SIN CORREGIMIENTO;292;LAS TUNAS;1-LAS TUNAS;0;0;2
1;0;SIN CORREGIMIENTO;297;TEJAR II;1-TEJAR II;TEJAR NORTE;SI;853
1;0;SIN CORREGIMIENTO;298;TEJAR I;1-TEJAR I;TEJAR NORTE;SI;602
1;0;SIN CORREGIMIENTO;299;OMAGA II;1-OMAGA II;OMAGA II;SI;600
1;0;SIN CORREGIMIENTO;301;CERVUNION;1-CERVUNION;0;0;393
1;0;SIN CORREGIMIENTO;302;ASENTAMIENTO LUZ DE ESPERANZA;1-ASENTAMIENTO LUZ DE ESPERANZA;LUZ DE ESPERENZA;0;28
1;0;SIN CORREGIMIENTO;305;SAN VALENTIN;1-SAN VALENTIN;0;0;598
1;0;SIN CORREGIMIENTO;311;ALTOS DE BETANIA;1-ALTOS DE BETANIA;BETANIA;SI;1239
1;0;SIN CORREGIMIENTO;328;CAMPESTRE NORTE ;1-CAMPESTRE NORTE ;0;0;2607
1;0;SIN CORREGIMIENTO;332;BONANZA CAMPESTRE;1-BONANZA CAMPESTRE;0;0;502
1;0;SIN CORREGIMIENTO;335;PUENTE NARIÑO;1-PUENTE NARIÑO;0;0;1043
1;0;SIN CORREGIMIENTO;338;CAFE MADRID LA SEXTA;1-CAFE MADRID LA SEXTA;0;0;102
1;0;SIN CORREGIMIENTO;342;VILLAS DE SAN IGNACIO;1-VILLAS DE SAN IGNACIO;0;0;757
1;0;SIN CORREGIMIENTO;346;JARDINES DE ALTAGRACIA;1-JARDINES DE ALTAGRACIA;0;0;136
1;0;SIN CORREGIMIENTO;348;PORTAL DE LOS ANGELES;1-PORTAL DE LOS ANGELES;0;0;702
1;0;SIN CORREGIMIENTO;350;BETANIA ;1-BETANIA ;0;0;3154
1;0;SIN CORREGIMIENTO;351;CAFE MADRID LA ESTACION;1-CAFE MADRID LA ESTACION;0;0;829
1;0;SIN CORREGIMIENTO;354;MIRADOR DE COLORADOS;1-MIRADOR DE COLORADOS;0;0;163
1;0;SIN CORREGIMIENTO;356;BAVARIA;1-BAVARIA;0;0;2737
1;0;SIN CORREGIMIENTO;357;CAFE MADRID CORRALES;1-CAFE MADRID CORRALES;0;0;49
1;0;SIN CORREGIMIENTO;359;GETSEMANI;1-GETSEMANI;0;0;485
1;0;SIN CORREGIMIENTO;361;VILLAS DEL NOGAL;1-VILLAS DEL NOGAL;0;0;4
1;0;SIN CORREGIMIENTO;366;LOS CEDROS NORTE;1-LOS CEDROS NORTE;0;0;78
1;0;SIN CORREGIMIENTO;370;CAMPO MADRID;1-CAMPO MADRID;SIN GEOJSON;SI;4036
2;0;SIN CORREGIMIENTO;0;BARRIO_S4;2-BARRIO_S4;0;0;492
2;0;SIN CORREGIMIENTO;8;EL ROSAL COLORADOS;2-EL ROSAL COLORADOS;0;0;2
2;0;SIN CORREGIMIENTO;21;MIRADOR DE LA UIS;2-MIRADOR DE LA UIS;0;0;833
2;0;SIN CORREGIMIENTO;37;LOS CUADROS;2-LOS CUADROS;0;0;916
2;0;SIN CORREGIMIENTO;44;VILLA HELENA I Y II;2-VILLA HELENA I Y II;VILLA HELENA I;SI;2444
2;0;SIN CORREGIMIENTO;45;LOS ANGELES;2-LOS ANGELES;LOS ANGELES;SI;1027
2;0;SIN CORREGIMIENTO;46;JOSE MARIA CORDOBA;2-JOSE MARIA CORDOBA;NUEVO HORIZONTE;SI;778
2;0;SIN CORREGIMIENTO;47;OLAS ALTAS Y BAJAS;2-OLAS ALTAS Y BAJAS;OLAS BAJAS;SI;79
2;0;SIN CORREGIMIENTO;50;VILLA ROSA;2-VILLA ROSA;0;0;276
2;0;SIN CORREGIMIENTO;51;LIZCANO I Y II;2-LIZCANO I Y II;LIZCANO I;SI;609
2;0;SIN CORREGIMIENTO;52;ESPERANZA II;2-ESPERANZA II;LA ESPERANZA II;SI;2017
2;0;SIN CORREGIMIENTO;53;ESPERANZA III;2-ESPERANZA III;LA ESPERANZA III;SI;1101
2;0;SIN CORREGIMIENTO;54;MIRADOR NORTE;2-MIRADOR NORTE;MIRADOR;SI;1080
