Cod_comuna_x;Cod_barrio;NOM_BARRIO;LLAVE;GEOJSON_BARRIO;BARRIO_AT;I2 - Analfabetismo;I1 - Bajo logro educativo;I3 - Inasistencia escolar;I5 - Barreras a servicios para cuidado de la primera infancia;I4 - Rezago escolar;I6 - Trabajo infantil;I8 - Trabajo informal;I9 - Sin aseguramiento en salud;I10 - Barreras de acceso a servicios de salud;I7 - Desempleo de larga duracion;I12 - Inadecuada eliminacion de excretas;I13 - Material inadecuado de pisos;I14 - Material inadecuado de paredes exteriores;I11 - Sin acceso a fuentes de agua mejorada;I15 - Hacinamiento critico;personas
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;11
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;2
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;37
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;3
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;3
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;4
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;4
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;7
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;3
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;7
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;11
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;0;1;0;1;0;0;1;0;1;1;1;0;2
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;3
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;1;0;0;1;0;0;1;1;0;1;1;0;2
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;3
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;9
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;4
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;1;0;0;1;1;0;0;1;1;1;1;1;3
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;3
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;1;1;0;0;1;0;0;1;1;1;1;1;3
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;1;1;0;1;0;0;0;1;1;0;1;1;6
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;5
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;4
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;6
1;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;SI;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;6
