Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;rango etario;personas
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;1. Primera Infancia (0-5 años);57
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;2. Infancia (6 - 11 años);41
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;3. Adolescencia (12 - 18 años);54
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;4. Juventud (14 - 26 años);60
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;5. Adultez (27- 59 años);168
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;6. Persona Mayor 60 o mas;41
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;1. Primera Infancia (0-5 años);117
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;2. Infancia (6 - 11 años);97
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;3. Adolescencia (12 - 18 años);114
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;4. Juventud (14 - 26 años);157
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;5. Adultez (27- 59 años);380
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;6. Persona Mayor 60 o mas;97
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;1. Primera Infancia (0-5 años);314
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;2. Infancia (6 - 11 años);269
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;3. Adolescencia (12 - 18 años);294
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;4. Juventud (14 - 26 años);424
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;5. Adultez (27- 59 años);1199
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;6. Persona Mayor 60 o mas;336
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;1. Primera Infancia (0-5 años);135
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;2. Infancia (6 - 11 años);99
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;3. Adolescencia (12 - 18 años);129
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;4. Juventud (14 - 26 años);182
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;5. Adultez (27- 59 años);455
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;6. Persona Mayor 60 o mas;133
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;1. Primera Infancia (0-5 años);40
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;2. Infancia (6 - 11 años);39
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;3. Adolescencia (12 - 18 años);47
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;4. Juventud (14 - 26 años);36
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;5. Adultez (27- 59 años);143
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;6. Persona Mayor 60 o mas;45
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;1. Primera Infancia (0-5 años);48
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;2. Infancia (6 - 11 años);42
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;3. Adolescencia (12 - 18 años);45
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;4. Juventud (14 - 26 años);49
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;5. Adultez (27- 59 años);137
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;6. Persona Mayor 60 o mas;30
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFÉ MADRID VILLA ALICIA;1. Primera Infancia (0-5 años);17
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFÉ MADRID VILLA ALICIA;2. Infancia (6 - 11 años);24
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFÉ MADRID VILLA ALICIA;3. Adolescencia (12 - 18 años);28
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFÉ MADRID VILLA ALICIA;4. Juventud (14 - 26 años);24
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFÉ MADRID VILLA ALICIA;5. Adultez (27- 59 años);87
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFÉ MADRID VILLA ALICIA;6. Persona Mayor 60 o mas;10
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;1. Primera Infancia (0-5 años);74
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;2. Infancia (6 - 11 años);82
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;3. Adolescencia (12 - 18 años);79
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;4. Juventud (14 - 26 años);90
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;5. Adultez (27- 59 años);290
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;6. Persona Mayor 60 o mas;66
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;1. Primera Infancia (0-5 años);3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;2. Infancia (6 - 11 años);2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;3. Adolescencia (12 - 18 años);3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;4. Juventud (14 - 26 años);6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;5. Adultez (27- 59 años);7
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;6. Persona Mayor 60 o mas;2
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;1. Primera Infancia (0-5 años);3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;3. Adolescencia (12 - 18 años);4
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;4. Juventud (14 - 26 años);3
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;5. Adultez (27- 59 años);6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;6. Persona Mayor 60 o mas;5
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NIÑO NORTE;1. Primera Infancia (0-5 años);33
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NIÑO NORTE;2. Infancia (6 - 11 años);33
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NIÑO NORTE;3. Adolescencia (12 - 18 años);28
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NIÑO NORTE;4. Juventud (14 - 26 años);41
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NIÑO NORTE;5. Adultez (27- 59 años);119
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NIÑO NORTE;6. Persona Mayor 60 o mas;21
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;1. Primera Infancia (0-5 años);83
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;2. Infancia (6 - 11 años);82
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;3. Adolescencia (12 - 18 años);90
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;4. Juventud (14 - 26 años);98
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;5. Adultez (27- 59 años);295
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;6. Persona Mayor 60 o mas;66
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFÉ MADRID LA UNIÓN;1. Primera Infancia (0-5 años);11
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFÉ MADRID LA UNIÓN;2. Infancia (6 - 11 años);13
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFÉ MADRID LA UNIÓN;3. Adolescencia (12 - 18 años);14
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFÉ MADRID LA UNIÓN;4. Juventud (14 - 26 años);20
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFÉ MADRID LA UNIÓN;5. Adultez (27- 59 años);46
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFÉ MADRID LA UNIÓN;6. Persona Mayor 60 o mas;6
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;1. Primera Infancia (0-5 años);78
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;2. Infancia (6 - 11 años);69
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;3. Adolescencia (12 - 18 años);73
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;4. Juventud (14 - 26 años);106
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;5. Adultez (27- 59 años);292
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;6. Persona Mayor 60 o mas;55
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFÉ MADRID LA PLAYA;1. Primera Infancia (0-5 años);78
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFÉ MADRID LA PLAYA;2. Infancia (6 - 11 años);66
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFÉ MADRID LA PLAYA;3. Adolescencia (12 - 18 años);76
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFÉ MADRID LA PLAYA;4. Juventud (14 - 26 años);109
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFÉ MADRID LA PLAYA;5. Adultez (27- 59 años);246
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFÉ MADRID LA PLAYA;6. Persona Mayor 60 o mas;71
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;19;CAFÉ MADRID LA LOMA;1. Primera Infancia (0-5 años);30
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;19;CAFÉ MADRID LA LOMA;2. Infancia (6 - 11 años);18
