Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_barrio;NOM_BARRIO;LLAVE;GEOJSON_BARRIO;rango etario;BARRIO_AT;personas
1;0;SIN CORREGIMIENTO;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;1. Primera Infancia (0-5 años);SI;57
1;0;SIN CORREGIMIENTO;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;2. Infancia (6 - 11 años);SI;41
1;0;SIN CORREGIMIENTO;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;3. Adolescencia (12 - 18 años);SI;54
1;0;SIN CORREGIMIENTO;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;4. Juventud (14 - 26 años);SI;60
1;0;SIN CORREGIMIENTO;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;5. Adultez (27- 59 años);SI;168
1;0;SIN CORREGIMIENTO;1;EL PAULON VILLA PATRICIA;1-EL PAULON VILLA PATRICIA;EL PABLÓN;6. Persona Mayor 60 o mas;SI;41
1;0;SIN CORREGIMIENTO;2;EL PAULON VILLA LINA;1-EL PAULON VILLA LINA;EL PABLÓN;1. Primera Infancia (0-5 años);SI;117
1;0;SIN CORREGIMIENTO;2;EL PAULON VILLA LINA;1-EL PAULON VILLA LINA;EL PABLÓN;2. Infancia (6 - 11 años);SI;97
1;0;SIN CORREGIMIENTO;2;EL PAULON VILLA LINA;1-EL PAULON VILLA LINA;EL PABLÓN;3. Adolescencia (12 - 18 años);SI;114
1;0;SIN CORREGIMIENTO;2;EL PAULON VILLA LINA;1-EL PAULON VILLA LINA;EL PABLÓN;4. Juventud (14 - 26 años);SI;157
1;0;SIN CORREGIMIENTO;2;EL PAULON VILLA LINA;1-EL PAULON VILLA LINA;EL PABLÓN;5. Adultez (27- 59 años);SI;380
1;0;SIN CORREGIMIENTO;2;EL PAULON VILLA LINA;1-EL PAULON VILLA LINA;EL PABLÓN;6. Persona Mayor 60 o mas;SI;97
1;0;SIN CORREGIMIENTO;3;COLORADOS;1-COLORADOS;COLORADOS;1. Primera Infancia (0-5 años);SI;314
1;0;SIN CORREGIMIENTO;3;COLORADOS;1-COLORADOS;COLORADOS;2. Infancia (6 - 11 años);SI;269
1;0;SIN CORREGIMIENTO;3;COLORADOS;1-COLORADOS;COLORADOS;3. Adolescencia (12 - 18 años);SI;294
1;0;SIN CORREGIMIENTO;3;COLORADOS;1-COLORADOS;COLORADOS;4. Juventud (14 - 26 años);SI;424
1;0;SIN CORREGIMIENTO;3;COLORADOS;1-COLORADOS;COLORADOS;5. Adultez (27- 59 años);SI;1199
1;0;SIN CORREGIMIENTO;3;COLORADOS;1-COLORADOS;COLORADOS;6. Persona Mayor 60 o mas;SI;336
1;0;SIN CORREGIMIENTO;4;EL PAULON;1-EL PAULON;EL PABLÓN;1. Primera Infancia (0-5 años);SI;135
