Cod_comuna_x;NOM_COMUNA;Cod_barrio;NOM_BARRIO;BARRIO_AT;Grupo;sexo_persona;personas
1;01. NORTE;1;EL PAULON VILLA PATRICIA;SI;A;FEMENINO;50
1;01. NORTE;1;EL PAULON VILLA PATRICIA;SI;A;MASCULINO;49
1;01. NORTE;1;EL PAULON VILLA PATRICIA;SI;B;FEMENINO;111
1;01. NORTE;1;EL PAULON VILLA PATRICIA;SI;B;MASCULINO;98
1;01. NORTE;1;EL PAULON VILLA PATRICIA;SI;C;FEMENINO;52
1;01. NORTE;1;EL PAULON VILLA PATRICIA;SI;C;MASCULINO;55
1;01. NORTE;1;EL PAULON VILLA PATRICIA;SI;D;FEMENINO;3
1;01. NORTE;1;EL PAULON VILLA PATRICIA;SI;D;MASCULINO;3
1;01. NORTE;2;EL PAULON VILLA LINA;SI;A;FEMENINO;150
1;01. NORTE;2;EL PAULON VILLA LINA;SI;A;MASCULINO;118
1;01. NORTE;2;EL PAULON VILLA LINA;SI;B;FEMENINO;194
1;01. NORTE;2;EL PAULON VILLA LINA;SI;B;MASCULINO;202
1;01. NORTE;2;EL PAULON VILLA LINA;SI;C;FEMENINO;138
1;01. NORTE;2;EL PAULON VILLA LINA;SI;C;MASCULINO;145
1;01. NORTE;2;EL PAULON VILLA LINA;SI;D;FEMENINO;8
1;01. NORTE;2;EL PAULON VILLA LINA;SI;D;MASCULINO;7
1;01. NORTE;3;COLORADOS;SI;A;FEMENINO;272
1;01. NORTE;3;COLORADOS;SI;A;MASCULINO;220
1;01. NORTE;3;COLORADOS;SI;B;FEMENINO;648
1;01. NORTE;3;COLORADOS;SI;B;MASCULINO;546
1;01. NORTE;3;COLORADOS;SI;C;FEMENINO;550
1;01. NORTE;3;COLORADOS;SI;C;MASCULINO;449
1;01. NORTE;3;COLORADOS;SI;D;FEMENINO;73
1;01. NORTE;3;COLORADOS;SI;D;MASCULINO;78
1;01. NORTE;4;EL PAULON;SI;A;FEMENINO;125
1;01. NORTE;4;EL PAULON;SI;A;MASCULINO;109
1;01. NORTE;4;EL PAULON;SI;B;FEMENINO;303
1;01. NORTE;4;EL PAULON;SI;B;MASCULINO;264
1;01. NORTE;4;EL PAULON;SI;C;FEMENINO;148
1;01. NORTE;4;EL PAULON;SI;C;MASCULINO;159
1;01. NORTE;4;EL PAULON;SI;D;FEMENINO;9
1;01. NORTE;4;EL PAULON;SI;D;MASCULINO;16
1;01. NORTE;5;ROSALTA COLORADOS;NO;A;FEMENINO;30
