Cod_comuna_x;Cod_corregimiento;NOM_CORREGIMIENTO;Cod_vereda;NOM_VEREDA;Cod_barrio;NOM_BARRIO;Count of documento
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;1;EL PAULON VILLA PATRICIA;421
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;2;EL PAULON VILLA LINA;962
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;3;COLORADOS;2836
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;4;EL PAULON;1133
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;5;ROSALTA COLORADOS;350
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;6;COLORADOS PATIO BONITO;351
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;7;CAFÉ MADRID VILLA ALICIA;190
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;8;EL ROSAL COLORADOS;681
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;9;LAS DELICIAS;23
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;10;ASENTAMIENTO BARRIO NUEVO;21
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;11;DIVINO NIÑO NORTE;275
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;12;CAFÉ MADRID EL TÚNEL;714
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;13;CAFÉ MADRID LA UNIÓN;110
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;14;CAFÉ MADRID;673
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;15;CAFÉ MADRID LA PLAYA;646
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;19;CAFÉ MADRID LA LOMA;204
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;24;CIUDADELA CAFÉ MADRID ;1987
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;25;CAFÉ MADRID EL PLAN;707
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;26;CAFÉ MADRID LA VIRGEN;158
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;27;CAFÉ MADRID EL SUICHE;57
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;28;CAFÉ MADRID EL CABLE;417
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;29;KENNEDY;2898
1;0;SIN CORREGIMIENTO;0;SIN VEREDA;30;VILLA ALEGRIA;899
