COMUNA,BARRIO,AÑO,ARTICULO,Count of articulo
01. NORTE,ALTOS DEL KENNEDY,2017,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,3
01. NORTE,ALTOS DEL KENNEDY,2017,Art. 34 - Comportamientos que afectan la convivencia en los establecimientos educativos relacionados con consumo de sustancias,1
01. NORTE,ALTOS DEL KENNEDY,2017,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,2
01. NORTE,ALTOS DEL KENNEDY,2018,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,3
01. NORTE,ALTOS DEL KENNEDY,2018,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,1
01. NORTE,ALTOS DEL KENNEDY,2018,Art. 95 - Comportamientos que afectan la seguridad de las personas y sus bienes relacionados con equipos terminales móviles,1
01. NORTE,ALTOS DEL KENNEDY,2019,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,2
01. NORTE,ALTOS DEL KENNEDY,2019,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,2
01. NORTE,ALTOS DEL KENNEDY,2020,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,6
01. NORTE,ALTOS DEL KENNEDY,2020,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,105
01. NORTE,ALTOS DEL KENNEDY,2021,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,9
01. NORTE,ALTOS DEL KENNEDY,2021,"Art. 38 - Comportamientos que afectan la integridad de niños, niñas y adolescentes",1
01. NORTE,ALTOS DEL KENNEDY,2022,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,4
01. NORTE,ALTOS DEL PROGRESO,2017,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,9
01. NORTE,ALTOS DEL PROGRESO,2017,Art. 33 - Comportamientos que afectan la tranquilidad y relaciones respetuosas de las personas,1
01. NORTE,ALTOS DEL PROGRESO,2017,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,4
01. NORTE,ALTOS DEL PROGRESO,2018,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,16
01. NORTE,ALTOS DEL PROGRESO,2018,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,2
01. NORTE,ALTOS DEL PROGRESO,2018,Art. 95 - Comportamientos que afectan la seguridad de las personas y sus bienes relacionados con equipos terminales móviles,1
01. NORTE,ALTOS DEL PROGRESO,2019,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,14
01. NORTE,ALTOS DEL PROGRESO,2020,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,7
01. NORTE,ALTOS DEL PROGRESO,2020,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,20
01. NORTE,ALTOS DEL PROGRESO,2021,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,19
01. NORTE,ALTOS DEL PROGRESO,2021,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,3
01. NORTE,ALTOS DEL PROGRESO,2022,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,16
01. NORTE,ASENTAMIENTO CAMINO DE PAZ I,2021,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,2
01. NORTE,ASENTAMIENTO CERVUNION,2020,Art. 27 - Comportamientos que ponen en riesgo la vida e integridad,2
01. NORTE,ASENTAMIENTO CERVUNION,2020,Art. 35 - Comportamientos que afectan las relaciones entre las personas y las autoridades,1
