COMUNA,BARRIO,CAPITULO,Count of capitulo
01. NORTE,ALTOS DEL KENNEDY,"Cap. 1 - NIÑOS, NIÑAS Y ADOLESCENTES",1
01. NORTE,ALTOS DEL KENNEDY,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,27
01. NORTE,ALTOS DEL KENNEDY,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,111
01. NORTE,ALTOS DEL KENNEDY,Cap. 2 - DEL CUIDADO E INTEGRIDAD DEL ESPACIO PÚBLICO,27
01. NORTE,ALTOS DEL KENNEDY,Cap. 3 - COMPORTAMIENTOS QUE AFECTAN LA ACTIVIDAD ECONÓMICA,2
01. NORTE,ALTOS DEL KENNEDY,Cap. 4 - DE LA SEGURIDAD DE LOS EQUIPOS TERMINALES MÓVILES Y/O TARJETAS SIMCARD (IMSI),1
01. NORTE,ALTOS DEL PROGRESO,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,1
01. NORTE,ALTOS DEL PROGRESO,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,81
01. NORTE,ALTOS DEL PROGRESO,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,29
01. NORTE,ALTOS DEL PROGRESO,Cap. 2 - DEL CUIDADO E INTEGRIDAD DEL ESPACIO PÚBLICO,11
01. NORTE,ALTOS DEL PROGRESO,Cap. 3 - COMPORTAMIENTOS QUE AFECTAN LA ACTIVIDAD ECONÓMICA,6
01. NORTE,ALTOS DEL PROGRESO,Cap. 3 - DE LA CONVIVENCIA DE LAS PERSONAS CON ANIMALES,1
01. NORTE,ALTOS DEL PROGRESO,Cap. 4 - DE LA SEGURIDAD DE LOS EQUIPOS TERMINALES MÓVILES Y/O TARJETAS SIMCARD (IMSI),1
01. NORTE,ASENTAMIENTO CAMINO DE PAZ I,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,2
01. NORTE,ASENTAMIENTO CERVUNION,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,2
01. NORTE,ASENTAMIENTO CERVUNION,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,1
01. NORTE,ASENTAMIENTO DIVINO NINO,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,40
01. NORTE,ASENTAMIENTO DIVINO NINO,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,7
01. NORTE,ASENTAMIENTO DIVINO NINO,Cap. 2 - DEL CUIDADO E INTEGRIDAD DEL ESPACIO PÚBLICO,8
01. NORTE,ASENTAMIENTO DIVINO NINO,Cap. 2 - LIMPIEZA Y RECOLECCIÓN DE RESIDUOS Y DE ESCOMBROS,1
01. NORTE,ASENTAMIENTO DIVINO NINO,Cap. 3 - DE LA CONVIVENCIA DE LAS PERSONAS CON ANIMALES,1
01. NORTE,BALCONES DEL KENEDY,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,2
01. NORTE,BALCONES DEL KENEDY,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,14
01. NORTE,BALCONES DEL KENEDY,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,10
01. NORTE,BARRIO NUEVO,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,4
01. NORTE,BETANIA,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,1
01. NORTE,BETANIA,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,263
01. NORTE,BETANIA,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,190
01. NORTE,BETANIA,Cap. 2 - DEL CUIDADO E INTEGRIDAD DEL ESPACIO PÚBLICO,9
01. NORTE,BETANIA,Cap. 3 - ARTÍCULOS PIROTÉCNICOS Y SUSTANCIAS PELIGROSAS,1
01. NORTE,BETANIA,Cap. 3 - COMPORTAMIENTOS QUE AFECTAN LA ACTIVIDAD ECONÓMICA,3
01. NORTE,BETANIA,Cap. 3 - DE LA CONVIVENCIA DE LAS PERSONAS CON ANIMALES,3
01. NORTE,BETANIA,Cap. 4 - DE LA SEGURIDAD DE LOS EQUIPOS TERMINALES MÓVILES Y/O TARJETAS SIMCARD (IMSI),1
01. NORTE,CAFE MADRID,Cap. 1 - DE LA SALUD PÚBLICA,4
01. NORTE,CAFE MADRID,Cap. 1 - DEL RESPETO Y CUIDADO DE LOS ANIMALES,1
01. NORTE,CAFE MADRID,"Cap. 1 - NIÑOS, NIÑAS Y ADOLESCENTES",6
01. NORTE,CAFE MADRID,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,27
01. NORTE,CAFE MADRID,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,866
01. NORTE,CAFE MADRID,Cap. 2 - DE LA SEGURIDAD EN LOS SERVICIOS PÚBLICOS,5
01. NORTE,CAFE MADRID,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,482
01. NORTE,CAFE MADRID,Cap. 2 - DEL CUIDADO E INTEGRIDAD DEL ESPACIO PÚBLICO,108
01. NORTE,CAFE MADRID,Cap. 2 - LIMPIEZA Y RECOLECCIÓN DE RESIDUOS Y DE ESCOMBROS,15
