COMUNA,BARRIO,COMPORTAMIENTO,Count of comportamiento
01. NORTE,ALTOS DEL KENNEDY,Lit. e,1
01. NORTE,ALTOS DEL KENNEDY,Num. 1,16
01. NORTE,ALTOS DEL KENNEDY,Num. 16,2
01. NORTE,ALTOS DEL KENNEDY,Num. 2,102
01. NORTE,ALTOS DEL KENNEDY,Num. 3,2
01. NORTE,ALTOS DEL KENNEDY,Num. 4,4
01. NORTE,ALTOS DEL KENNEDY,Num. 6,16
01. NORTE,ALTOS DEL KENNEDY,Num. 7,26
01. NORTE,ALTOS DEL PROGRESO,Lit. c,1
01. NORTE,ALTOS DEL PROGRESO,Num. 1,21
01. NORTE,ALTOS DEL PROGRESO,Num. 11,2
01. NORTE,ALTOS DEL PROGRESO,Num. 16,4
01. NORTE,ALTOS DEL PROGRESO,Num. 2,19
01. NORTE,ALTOS DEL PROGRESO,Num. 3,12
01. NORTE,ALTOS DEL PROGRESO,Num. 4,2
01. NORTE,ALTOS DEL PROGRESO,Num. 5,1
01. NORTE,ALTOS DEL PROGRESO,Num. 6,57
01. NORTE,ALTOS DEL PROGRESO,Num. 7,8
01. NORTE,ALTOS DEL PROGRESO,Num. 8,3
01. NORTE,ASENTAMIENTO CAMINO DE PAZ I,Num. 6,2
01. NORTE,ASENTAMIENTO CERVUNION,Num. 2,1
01. NORTE,ASENTAMIENTO CERVUNION,Num. 6,2
01. NORTE,ASENTAMIENTO DIVINO NINO,Num. 1,19
01. NORTE,ASENTAMIENTO DIVINO NINO,Num. 2,5
01. NORTE,ASENTAMIENTO DIVINO NINO,Num. 3,2
01. NORTE,ASENTAMIENTO DIVINO NINO,Num. 4,2
01. NORTE,ASENTAMIENTO DIVINO NINO,Num. 6,19
01. NORTE,ASENTAMIENTO DIVINO NINO,Num. 7,8
01. NORTE,ASENTAMIENTO DIVINO NINO,Num. 8,2
01. NORTE,BALCONES DEL KENEDY,Lit. a,2
01. NORTE,BALCONES DEL KENEDY,Num. 1,5
01. NORTE,BALCONES DEL KENEDY,Num. 2,8
01. NORTE,BALCONES DEL KENEDY,Num. 3,1
01. NORTE,BALCONES DEL KENEDY,Num. 6,10
01. NORTE,BARRIO NUEVO,Num. 6,4
01. NORTE,BETANIA,Lit. a,1
01. NORTE,BETANIA,Num. 1,50
01. NORTE,BETANIA,Num. 11,2
01. NORTE,BETANIA,Num. 16,2
01. NORTE,BETANIA,Num. 2,151
01. NORTE,BETANIA,Num. 3,14
01. NORTE,BETANIA,Num. 4,13
01. NORTE,BETANIA,Num. 5,2
01. NORTE,BETANIA,Num. 6,224
01. NORTE,BETANIA,Num. 7,8
01. NORTE,BETANIA,Num. 8,4
