COMUNA,BARRIO,RANGO ETARIO,personas
01. NORTE,10 DE MAYO SANTA BARBARA,1. Primera infancia (0-5 años),0
01. NORTE,10 DE MAYO SANTA BARBARA,2. Infancia  (6 – 11 años),0
01. NORTE,10 DE MAYO SANTA BARBARA,3. Adolescencia (12-18 años),0
01. NORTE,10 DE MAYO SANTA BARBARA,4. Juventud (14 – 26 años),0
01. NORTE,10 DE MAYO SANTA BARBARA,5. Adultez  (27 – 59 años),0
01. NORTE,10 DE MAYO SANTA BARBARA,6. Vejez (60 años y más),0
01. NORTE,12 DE OCTUBRE,1. Primera infancia (0-5 años),0
01. NORTE,12 DE OCTUBRE,2. Infancia  (6 – 11 años),0
01. NORTE,12 DE OCTUBRE,3. Adolescencia (12-18 años),0
01. NORTE,12 DE OCTUBRE,4. Juventud (14 – 26 años),0
01. NORTE,12 DE OCTUBRE,5. Adultez  (27 – 59 años),0
01. NORTE,12 DE OCTUBRE,6. Vejez (60 años y más),0
01. NORTE,13 DE JUNIO,1. Primera infancia (0-5 años),0
01. NORTE,13 DE JUNIO,2. Infancia  (6 – 11 años),0
01. NORTE,13 DE JUNIO,3. Adolescencia (12-18 años),0
01. NORTE,13 DE JUNIO,4. Juventud (14 – 26 años),0
01. NORTE,13 DE JUNIO,5. Adultez  (27 – 59 años),0
01. NORTE,13 DE JUNIO,6. Vejez (60 años y más),0
01. NORTE,20 DE JULIO,1. Primera infancia (0-5 años),0
01. NORTE,20 DE JULIO,2. Infancia  (6 – 11 años),0
01. NORTE,20 DE JULIO,3. Adolescencia (12-18 años),0
01. NORTE,20 DE JULIO,4. Juventud (14 – 26 años),0
01. NORTE,20 DE JULIO,5. Adultez  (27 – 59 años),0
01. NORTE,20 DE JULIO,6. Vejez (60 años y más),0
01. NORTE,23 DE JUNIO,1. Primera infancia (0-5 años),0
01. NORTE,23 DE JUNIO,2. Infancia  (6 – 11 años),0
01. NORTE,23 DE JUNIO,3. Adolescencia (12-18 años),0
01. NORTE,23 DE JUNIO,4. Juventud (14 – 26 años),0
01. NORTE,23 DE JUNIO,5. Adultez  (27 – 59 años),0
01. NORTE,23 DE JUNIO,6. Vejez (60 años y más),0
01. NORTE,AFRICA,1. Primera infancia (0-5 años),0
01. NORTE,AFRICA,2. Infancia  (6 – 11 años),0
01. NORTE,AFRICA,3. Adolescencia (12-18 años),0
01. NORTE,AFRICA,4. Juventud (14 – 26 años),0
01. NORTE,AFRICA,5. Adultez  (27 – 59 años),0
01. NORTE,AFRICA,6. Vejez (60 años y más),0
01. NORTE,ALARCON,1. Primera infancia (0-5 años),0
01. NORTE,ALARCON,2. Infancia  (6 – 11 años),0
01. NORTE,ALARCON,3. Adolescencia (12-18 años),0
01. NORTE,ALARCON,4. Juventud (14 – 26 años),0
01. NORTE,ALARCON,5. Adultez  (27 – 59 años),0
01. NORTE,ALARCON,6. Vejez (60 años y más),0
01. NORTE,ALBANIA,1. Primera infancia (0-5 años),0
01. NORTE,ALBANIA,2. Infancia  (6 – 11 años),0
01. NORTE,ALBANIA,3. Adolescencia (12-18 años),0
01. NORTE,ALBANIA,4. Juventud (14 – 26 años),0
